entity,vertex_name,vertex_id,vertex_central,edge_type,directed,entity2,vertex_name2,vertex_id2
asmt_rcdrs_page,leftschema,vtx_type-bpby,False,,,,,
asmt_rcdrs_date_transfer,leftschema,vtx_type-bpby,False,,,,,
asmt_doc_type,leftschema,vtx_type-bpby,False,,,,,
aggr_acreage,leftschema,vtx_type-bpby,False,,,,,
asmt_version_id,leftschema,vtx_type-bpby,False,,,,,
aggr_group,leftschema,vtx_type-bpby,False,,,,,
aggr_lot_count,leftschema,vtx_type-bpby,False,,,,,
aggr_lot_width_median,leftschema,vtx_type-bpby,False,,,,,
asmt_val_transfer,leftschema,vtx_type-bpby,False,,,,,
asmt_sale_code,leftschema,vtx_type-bpby,False,,,,,
asmt_sale_code_desc,leftschema,vtx_type-bpby,False,,,,,
asmt_prior_sale_date_transfer,leftschema,vtx_type-bpby,False,,,,,
asmt_prior_sale_val_transfer,leftschema,vtx_type-bpby,False,,,,,
asmt_prior_sale_sale_code,leftschema,vtx_type-bpby,False,,,,,
legal_full,leftschema,vtx_type-bpby,False,,,,,
legal_1,leftschema,vtx_type-bpby,False,,,,,
lot_code,leftschema,vtx_type-bpby,False,,,,,
lot_number,leftschema,vtx_type-bpby,False,,,,,
land_lot,leftschema,vtx_type-bpby,False,,,,,
city_section,leftschema,vtx_type-bpby,False,,,,,
district,leftschema,vtx_type-bpby,False,,,,,
legal_unit,leftschema,vtx_type-bpby,False,,,,,
zoning,leftschema,vtx_type-bpby,False,,,,,
municipality,leftschema,vtx_type-bpby,False,,,,,
subdivision,leftschema,vtx_type-bpby,False,,,,,
phase_nbr,leftschema,vtx_type-bpby,False,,,,,
tract_number,leftschema,vtx_type-bpby,False,,,,,
legal_sec_twp_rng,leftschema,vtx_type-bpby,False,,,,,
assr_map_ref,leftschema,vtx_type-bpby,False,,,,,
lot_size_area,leftschema,vtx_type-bpby,False,,,,,
lot_size_area_unit,leftschema,vtx_type-bpby,False,,,,,
lot_size_area_orgn,leftschema,vtx_type-bpby,False,,,,,
yr_blt,leftschema,vtx_type-bpby,False,,,,,
bldg_number,leftschema,vtx_type-bpby,False,,,,,
building_sqft,leftschema,vtx_type-bpby,False,,,,,
stories_number,leftschema,vtx_type-bpby,False,,,,,
stories_number_desc,leftschema,vtx_type-bpby,False,,,,,
total_rooms,leftschema,vtx_type-bpby,False,,,,,
units_number,leftschema,vtx_type-bpby,False,,,,,
bedrooms,leftschema,vtx_type-bpby,False,,,,,
total_baths,leftschema,vtx_type-bpby,False,,,,,
total_baths_calculated,leftschema,vtx_type-bpby,False,,,,,
partial_baths,leftschema,vtx_type-bpby,False,,,,,
garage_carport_type,leftschema,vtx_type-bpby,False,,,,,
garage_code_desc,leftschema,vtx_type-bpby,False,,,,,
parking_spaces,leftschema,vtx_type-bpby,False,,,,,
pool_indicator,leftschema,vtx_type-bpby,False,,,,,
pool_indicator_desc,leftschema,vtx_type-bpby,False,,,,,
val_mrkt_land,leftschema,vtx_type-bpby,False,,,,,
val_mrkt_imprv,leftschema,vtx_type-bpby,False,,,,,
val_market,leftschema,vtx_type-bpby,False,,,,,
yr_mrkt_val,leftschema,vtx_type-bpby,False,,,,,
buyer_name,leftschema,vtx_type-bpby,False,,,,,
bldg_class,leftschema,vtx_type-bpby,False,,,,,
bldg_class_desc,leftschema,vtx_type-bpby,False,,,,,
style_type,leftschema,vtx_type-bpby,False,,,,,
style_desc,leftschema,vtx_type-bpby,False,,,,,
construction_code,leftschema,vtx_type-bpby,False,,,,,
construction_code_desc,leftschema,vtx_type-bpby,False,,,,,
exterior_wall_type,leftschema,vtx_type-bpby,False,,,,,
exterior_wall_desc,leftschema,vtx_type-bpby,False,,,,,
foundation_type,leftschema,vtx_type-bpby,False,,,,,
foundation_type_desc,leftschema,vtx_type-bpby,False,,,,,
roof_cover_type,leftschema,vtx_type-bpby,False,,,,,
roof_cover_desc,leftschema,vtx_type-bpby,False,,,,,
heating_type,leftschema,vtx_type-bpby,False,,,,,
heating_desc,leftschema,vtx_type-bpby,False,,,,,
air_conditioning,leftschema,vtx_type-bpby,False,,,,,
air_conditioning_type_desc,leftschema,vtx_type-bpby,False,,,,,
